StudentID,Section,PreferredSlot,UnwantedSlot,WantMergedClass,MaxContinuousHours,NoGaps,EarliestPreferredTime,LatestPreferredTime
A2025001,A,10:00-10:50,9:00-9:50,Yes,4,Yes,10:00,4:00
A2025002,A,9:00-9:50,9:00-9:50,No,3,Yes,9:30,5:00
A2025003,A,11:00-11:50,9:00-9:50,Yes,5,No,9:00,4:30
A2025004,A,12:00-12:50,11:00-11:50,No,4,Yes,9:45,5:15
A2025005,A,2:00-2:50,9:00-9:50,Yes,3,Yes,10:15,3:45
A2025011,A,12:00-12:50,10:00-10:50,No,6,No,11:00,5:00
A2025012,A,10:00-10:50,12:00-12:50,Yes,4,Yes,9:45,6:00
A2025013,A,3:00-3:50,9:00-9:50,Yes,4,No,10:30,1:30
A12025001,A,9:00-9:50,8:00-8:50,No,4,No,10:30,3:30
A12025002,A,10:00-10:50,10:00-10:50,No,4,Yes,9:00,2:30
A22025001,A,11:00-11:50,9:00-9:50,Yes,5,Yes,9:10,4:40
A22025002,A,10:00-10:50,11:00-11:50,Yes,6,No,9:00,3:30
A22025003,A,12:00-12:50,11:00-11:50,Yes,4,Yes,10:00,6:00
B2025001,B,12:00-12:50,9:00-9:50,No,4,Yes,9:00,4:30
B2025002,B,11:00-11:50,9:00-9:50,No,3,No,9:00,6:00
B2025003,B,3:00-3:50,11:00-11:50,Yes,5,Yes,10:00,4:00
B2025004,B,9:00-9:50,10:00-10:50,Yes,4,Yes,9:45,5:00
B12025001,B,10:00-10:50,9:00-9:50,No,3,No,9:00,5:00
B12025002,B,2:00-2:50,11:00-11:50,No,4,Yes,10:00,1:30
B22025001,B,10:00-10:50,10:00-10:50,Yes,4,No,9:30,3:30
B22025002,B,2:00-2:50,9:00-9:50,No,5,Yes,10:15,6:15
